year,mo,dy, hr, Pmean, Pstdv,  n
2016,08,21, 08, 0.353, 0.203, 12
2016,08,21, 09, 0.184, 0.046, 12
2016,08,21, 10, 0.450, 0.200, 12
2016,08,21, 11, 1.031, 0.435, 12
2016,08,21, 12, 0.797, 0.473, 12
2016,08,21, 13, 0.182, 0.097, 12
2016,08,21, 14, 0.334, 0.094, 12
2016,08,21, 15, 1.678, 0.750, 12
2016,08,21, 16, 0.572, 0.324, 12
2016,08,21, 17, 0.478, 0.335, 12
2016,08,21, 18, 0.446, 0.195, 12
2016,08,21, 19, 0.103, 0.074, 12
2016,08,21, 20, 0.016, 0.007,  3
2016,08,22, 06, 0.012, 0.000,  1
2016,08,22, 07, 0.062, 0.064, 12
2016,08,22, 08, 0.170, 0.082, 12
2016,08,22, 09, 0.230, 0.054, 12
2016,08,22, 10, 0.244, 0.112, 12
2016,08,22, 11, 0.268, 0.063, 12
2016,08,22, 12, 0.180, 0.027, 12
2016,08,22, 13, 0.215, 0.049, 12
2016,08,22, 14, 0.608, 0.126, 12
2016,08,22, 15, 0.928, 0.580, 12
2016,08,22, 16, 1.009, 0.433, 12
2016,08,22, 17, 0.581, 0.164, 12
2016,08,22, 18, 0.399, 0.067, 12
2016,08,22, 19, 0.134, 0.088, 12
2016,08,22, 20, 0.016, 0.007,  3
2016,08,23, 06, 0.038, 0.019,  6
2016,08,23, 07, 0.245, 0.155, 12
2016,08,23, 08, 0.979, 0.241, 12
2016,08,23, 09, 1.606, 0.195, 12
2016,08,23, 10, 2.193, 0.173, 12
2016,08,23, 11, 2.575, 0.093, 12
2016,08,23, 12, 2.717, 0.046, 12
2016,08,23, 13, 2.737, 0.021, 12
2016,08,23, 14, 2.610, 0.075, 12
2016,08,23, 15, 2.303, 0.102, 12
2016,08,23, 16, 1.875, 0.151, 12
2016,08,23, 17, 1.257, 0.197, 12
2016,08,23, 18, 0.568, 0.208, 12
2016,08,23, 19, 0.085, 0.060, 12
2016,08,23, 20, 0.018, 0.008,  2
2016,08,24, 06, 0.031, 0.014,  5
2016,08,24, 07, 0.232, 0.178, 12
2016,08,24, 08, 0.959, 0.233, 12
2016,08,24, 09, 1.682, 0.192, 12
2016,08,24, 10, 2.212, 0.124, 12
2016,08,24, 11, 2.549, 0.088, 12
2016,08,24, 12, 2.735, 0.029, 12
2016,08,24, 13, 2.775, 0.015, 12
2016,08,24, 14, 2.660, 0.066, 12
2016,08,24, 15, 2.358, 0.120, 12
2016,08,24, 16, 1.893, 0.165, 12
2016,08,24, 17, 1.276, 0.209, 12
2016,08,24, 18, 0.564, 0.216, 12
2016,08,24, 19, 0.070, 0.055, 12
2016,08,24, 20, 0.012, 0.000,  1
2016,08,25, 06, 0.026, 0.013,  5
2016,08,25, 07, 0.228, 0.173, 12
2016,08,25, 08, 0.937, 0.232, 12
2016,08,25, 09, 1.652, 0.192, 12
2016,08,25, 10, 2.204, 0.145, 12
2016,08,25, 11, 2.556, 0.064, 12
2016,08,25, 12, 2.711, 0.032, 12
2016,08,25, 13, 2.763, 0.015, 12
2016,08,25, 14, 2.625, 0.074, 12
2016,08,25, 15, 2.302, 0.134, 12
2016,08,25, 16, 1.840, 0.158, 12
2016,08,25, 17, 1.225, 0.203, 12
2016,08,25, 18, 0.533, 0.206, 12
2016,08,25, 19, 0.072, 0.051, 12
2016,08,25, 20, 0.012, 0.000,  1
2016,08,26, 06, 0.034, 0.013,  5
2016,08,26, 07, 0.178, 0.110, 12
2016,08,26, 08, 0.809, 0.240, 12
2016,08,26, 09, 1.488, 0.180, 12
2016,08,26, 10, 1.998, 0.157, 12
2016,08,26, 11, 2.371, 0.098, 12
2016,08,26, 12, 2.555, 0.019, 12
2016,08,26, 13, 2.556, 0.022, 12
2016,08,26, 14, 2.437, 0.046, 12
2016,08,26, 15, 2.169, 0.130, 12
2016,08,26, 16, 1.669, 0.150, 12
2016,08,26, 17, 1.061, 0.229, 12
2016,08,26, 18, 0.300, 0.218, 12
2016,08,26, 19, 0.076, 0.024, 12
2016,08,26, 20, 0.024, 0.000,  1
2016,08,27, 06, 0.030, 0.015,  4
2016,08,27, 07, 0.200, 0.114, 12
2016,08,27, 08, 0.727, 0.242, 12
2016,08,27, 09, 1.446, 0.205, 12
2016,08,27, 10, 2.028, 0.151, 12
2016,08,27, 11, 2.265, 0.244, 12
2016,08,27, 12, 2.566, 0.215, 12
2016,08,27, 13, 2.653, 0.070, 12
2016,08,27, 14, 2.337, 0.421, 12
2016,08,27, 15, 1.558, 0.399, 12
2016,08,27, 16, 1.621, 0.340, 12
2016,08,27, 17, 1.199, 0.407, 12
2016,08,27, 18, 0.253, 0.064, 12
2016,08,27, 19, 0.102, 0.055, 12
2016,08,28, 06, 0.028, 0.018,  3
2016,08,28, 07, 0.279, 0.213, 12
2016,08,28, 08, 0.706, 0.238, 12
2016,08,28, 09, 1.446, 0.196, 12
2016,08,28, 10, 2.028, 0.165, 12
2016,08,28, 11, 2.323, 0.136, 12
2016,08,28, 12, 1.190, 0.377, 12
2016,08,28, 13, 1.297, 0.436, 12
2016,08,28, 14, 1.603, 0.800, 12
2016,08,28, 15, 1.938, 0.612, 12
2016,08,28, 16, 1.262, 0.521, 12
2016,08,28, 17, 1.054, 0.443, 12
2016,08,28, 18, 0.404, 0.247, 12
2016,08,28, 19, 0.076, 0.044, 11
2016,08,29, 06, 0.024, 0.000,  1
2016,08,29, 07, 0.061, 0.047, 12
2016,08,29, 08, 0.385, 0.215, 12
2016,08,29, 09, 1.361, 0.366, 12
2016,08,29, 10, 1.800, 0.477, 12
2016,08,29, 11, 1.528, 0.318, 12
2016,08,29, 12, 0.731, 0.565, 12
2016,08,29, 13, 0.395, 0.371, 12
2016,08,29, 14, 1.997, 0.784, 12
2016,08,29, 15, 1.506, 0.656, 12
2016,08,29, 16, 1.610, 0.790, 12
2016,08,29, 17, 0.883, 0.380, 12
2016,08,29, 18, 0.488, 0.166, 12
2016,08,29, 19, 0.068, 0.052, 12
2016,08,30, 06, 0.028, 0.014,  3
2016,08,30, 07, 0.199, 0.160, 12
2016,08,30, 08, 0.948, 0.245, 12
2016,08,30, 09, 1.668, 0.191, 12
2016,08,30, 10, 2.225, 0.138, 12
2016,08,30, 11, 2.589, 0.087, 12
2016,08,30, 12, 2.765, 0.039, 12
2016,08,30, 13, 2.776, 0.039, 12
2016,08,30, 14, 2.637, 0.051, 12
2016,08,30, 15, 2.334, 0.115, 12
2016,08,30, 16, 1.859, 0.174, 12
2016,08,30, 17, 1.228, 0.198, 12
2016,08,30, 18, 0.488, 0.204, 12
2016,08,30, 19, 0.057, 0.041, 11
2016,08,31, 06, 0.027, 0.015,  4
2016,08,31, 07, 0.225, 0.151, 12
2016,08,31, 08, 0.906, 0.233, 12
2016,08,31, 09, 1.629, 0.191, 12
2016,08,31, 10, 2.176, 0.138, 12
2016,08,31, 11, 2.530, 0.079, 12
